"Note","Course","Module","Clip","Time in Clip","URL"
" Detached head is good for experiments with the changes that you possibly don't want to keep. But if you decide to keep, you can mark it as branch, then git will keep it and you can always return to that branch commits.","How Git Works","Branches Demystified","Losing Your HEAD","5:36","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m2&clip=6&mode=live&start=336&noteid=8323aecb-34f0-4e79-bd41-562b71e974a4"
"Rebase is Git's signature feature. This is when we have two branches (main & branch). Instead of merge we do rebase: git is separating branch from the main at the point of shared commit. Then it rebases branch to the last commit on main branch. ","How Git Works","Rebasing Made Simple","What a Rebase Looks Like","2:54","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m3&clip=1&mode=live&start=174&noteid=a65a765c-ed2d-4535-80cd-7245dd4a06b1"
"The purpose of rebase is for rearanging the branches into one straight tree where end result has no branches left. When after commit there are tree with braches.","How Git Works","Rebasing Made Simple","What a Rebase Looks Like","4:06","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m3&clip=1&mode=live&start=246&noteid=65dd61f2-045c-40b8-9b37-245083102abe"
"Merge keeps the history as is, when commits are done to all branches stays unchanged. Rebase tweak history to make it look clean and in one line when it puts commits on top of main branch. But the history of all commits get changed. This is useful for huge complex projects. ""When in doubt just merge"". You need to really know what are you doing when rebase.","How Git Works","Rebasing Made Simple","Tags in Brief","0:00","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m3&clip=6&mode=live&start=0&noteid=4bd001e6-3fa0-41fa-bb8b-b79cd9bba814"
"Tags are objects that keep the metadata  and pointer to a specific commit, like message, date, user. Tags are saved in ref/tags folder, they kept next to heads/ folder, because they are like branches. The diff is that branch pointer moves with the branch commits, but tag stays with the same commit. Lightweight tags are simply pointers to a specific commit without metadata. Kept in the same location with the tags.","How Git Works","Rebasing Made Simple","Tags in Brief","5:51","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m3&clip=6&mode=live&start=351&noteid=84377d45-6c6e-4dae-aa84-a792add34133"
"Git is distributed system means that all remote repos have the .git file that includes all the info about the project, all branches, tags. When local repo is in sync with origin they both point to the same commit. Other branches in the origin repo would point to other commits","How Git Works","Distributed Version Control","Local and Remote","4:24","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m4&clip=2&mode=live&start=264&noteid=d8dd5b3b-3717-4be9-ac3f-347bbd373f63"
"To sync with remote origin, we should never push force the changes, that would push our changes and may lose other new changes on remote. We need to fetch the changes first then merge locally and only then push to update the history and push our changes to remote. That what pull does. Always first pull then push.","How Git Works","Distributed Version Control","The Chore of Pulling","5:15","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m4&clip=4&mode=live&start=315&noteid=e9cda26c-48a8-421d-a6bf-0e71af1f899e"
"Fork is a GitHub feature when we copy someones GitHub project to our own GitHub account, we fork it.","How Git Works","Distributed Version Control","Getting Social","1:14","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m4&clip=6&mode=live&start=74&noteid=44f45b0b-e5d6-4d3e-acdb-a5911a1386a5"
"Then we clone this project from our GitHub account to our local and it points to origin in our account. And then we create another pointer (remote) to other gitHub accounts repo, the original one. The remote calls 'upstream'","How Git Works","Distributed Version Control","Getting Social","2:07","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m4&clip=6&mode=live&start=127&noteid=47dacac9-26fa-4a9f-bd61-1fab2f409976"
"We can't push to upstream, we have no rights.","How Git Works","Distributed Version Control","Getting Social","2:40","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m4&clip=6&mode=live&start=160&noteid=dfd1bcde-13a4-4886-9e6e-c95eab201756"
"All local changes we push to our origin on our GitHub account then create a pull request to original account's project asking to pull our changes.","How Git Works","Distributed Version Control","Getting Social","3:00","https://app.pluralsight.com/player?course=how-git-works&author=paolo-perrotta&name=how-git-works-m4&clip=6&mode=live&start=180&noteid=47c33360-2f79-4c8c-b30c-d3ebb8bdbe0e"
